Permutaciones,INDICES
PersonasTv Nacional,48.81785
PersonasTv Regional,12.8299
PersonasTv Suscripción,57.2718
PersonasRadio,70.8398
PersonasPrensa,32.72835
PersonasPrensa OnLine,26.26975
PersonasRevistas,27.42735
PersonasRevistas On Line,16.8456
PersonasT. Digital,91.24365
PersonasCine,10.6202
PersonasGoogle Search,71.54285
PersonasFacebook,77.7799
PersonasInstagram,63.25715
PersonasTik Tok,31.1337
PersonasTwitter,26.0483
PersonasYoutube,62.96315
PersonasSpotify,27.5606
PersonasVallas,51.8502
PersonasMedios de Transporte,64.34445
PersonasParaderos,49.12805
PersonasValla Movil,33.56435
PersonasTaxi,36.5927
PersonasCentros Comerciales,53.71935
PersonasAeropuertos,47.19265
AmasTv Nacional,49.42085
AmasTv Regional,13.44765
AmasTv Suscripción,54.55015
AmasRadio,71.2531
AmasPrensa,31.68055
AmasPrensa OnLine,26.14285
AmasRevistas,27.4108
AmasRevistas On Line,17.6046
AmasT. Digital,90.96585
AmasCine,9.0963
AmasGoogle Search,69.71975
AmasFacebook,78.2454
AmasInstagram,60.55995
AmasTik Tok,29.1712
AmasTwitter,23.76735
AmasYoutube,61.25585
AmasSpotify,25.6424
AmasVallas,50.40295
AmasMedios de Transporte,63.1811
AmasParaderos,48.0544
AmasValla Movil,31.80115
AmasTaxi,36.0815
AmasCentros Comerciales,52.46135
AmasAeropuertos,46.85235
HM +25Tv Nacional,50.01995
HM +25Tv Regional,13.723
HM +25Tv Suscripción,58.2113
HM +25Radio,74.5712
HM +25Prensa,33.58955
HM +25Prensa OnLine,28.2103
HM +25Revistas,27.8735
HM +25Revistas On Line,17.9848
HM +25T. Digital,92.0686
HM +25Cine,9.1351
HM +25Google Search,72.9646
HM +25Facebook,78.9595
HM +25Instagram,59.92085
HM +25Tik Tok,27.2354
HM +25Twitter,27.25405
HM +25Youtube,61.28525
HM +25Spotify,25.1582
HM +25Vallas,53.16745
HM +25Medios de Transporte,64.6955
HM +25Paraderos,49.31975
HM +25Valla Movil,32.94975
HM +25Taxi,34.47945
HM +25Centros Comerciales,52.73665
HM +25Aeropuertos,47.18015
HM +25 nse 3-6Tv Nacional,49.28505
HM +25 nse 3-6Tv Regional,14.63035
HM +25 nse 3-6Tv Suscripción,61.74465
HM +25 nse 3-6Radio,75.687
HM +25 nse 3-6Prensa,34.64075
HM +25 nse 3-6Prensa OnLine,28.9817
HM +25 nse 3-6Revistas,28.7491
HM +25 nse 3-6Revistas On Line,17.66605
HM +25 nse 3-6T. Digital,93.13635
HM +25 nse 3-6Cine,8.85225
HM +25 nse 3-6Google Search,73.38435
HM +25 nse 3-6Facebook,78.57885
HM +25 nse 3-6Instagram,62.51875
HM +25 nse 3-6Tik Tok,25.6293
HM +25 nse 3-6Twitter,30.89495
HM +25 nse 3-6Youtube,61.84535
HM +25 nse 3-6Spotify,26.54345
HM +25 nse 3-6Vallas,53.95105
HM +25 nse 3-6Medios de Transporte,63.65475
HM +25 nse 3-6Paraderos,49.4853
HM +25 nse 3-6Valla Movil,32.5503
HM +25 nse 3-6Taxi,33.675
HM +25 nse 3-6Centros Comerciales,53.8531
HM +25 nse 3-6Aeropuertos,46.53005
HM +25 nse 4-6Tv Nacional,47.44035
HM +25 nse 4-6Tv Regional,13.2346
HM +25 nse 4-6Tv Suscripción,63.40595
HM +25 nse 4-6Radio,77.5551
HM +25 nse 4-6Prensa,34.6938
HM +25 nse 4-6Prensa OnLine,27.41185
HM +25 nse 4-6Revistas,29.49905
HM +25 nse 4-6Revistas On Line,17.1847
HM +25 nse 4-6T. Digital,93.4239
HM +25 nse 4-6Cine,10.62225
HM +25 nse 4-6Google Search,72.78695
HM +25 nse 4-6Facebook,76.6198
HM +25 nse 4-6Instagram,66.8594
HM +25 nse 4-6Tik Tok,25.3787
HM +25 nse 4-6Twitter,34.7127
HM +25 nse 4-6Youtube,62.8533
HM +25 nse 4-6Spotify,29.2614
HM +25 nse 4-6Vallas,56.77765
HM +25 nse 4-6Medios de Transporte,64.58665
HM +25 nse 4-6Paraderos,49.46455
HM +25 nse 4-6Valla Movil,34.67555
HM +25 nse 4-6Taxi,33.81205
HM +25 nse 4-6Centros Comerciales,55.25255
HM +25 nse 4-6Aeropuertos,48.1487
HM +18Tv Nacional,48.63465
HM +18Tv Regional,12.62165
HM +18Tv Suscripción,54.74885
HM +18Radio,70.6122
HM +18Prensa,31.6657
HM +18Prensa OnLine,26.2204
HM +18Revistas,25.74345
HM +18Revistas On Line,16.66075
HM +18T. Digital,91.479
HM +18Cine,9.3505
HM +18Google Search,71.76035
HM +18Facebook,77.9457
HM +18Instagram,61.8884
HM +18Tik Tok,29.38235
HM +18Twitter,26.7186
HM +18Youtube,61.50815
HM +18Spotify,26.3691
HM +18Vallas,51.77915
HM +18Medios de Transporte,62.6449
HM +18Paraderos,47.7486
HM +18Valla Movil,31.8309
HM +18Taxi,33.70375
HM +18Centros Comerciales,51.18385
HM +18Aeropuertos,45.86015
HM 12-24Tv Nacional,46.05355
HM 12-24Tv Regional,10.61195
HM 12-24Tv Suscripción,56.96395
HM 12-24Radio,64.4012
HM 12-24Prensa,32.35995
HM 12-24Prensa OnLine,23.3493
HM 12-24Revistas,29.2422
HM 12-24Revistas On Line,16.0601
HM 12-24T. Digital,88.8305
HM 12-24Cine,14.3071
HM 12-24Google Search,67.30005
HM 12-24Facebook,73.9688
HM 12-24Instagram,71.77365
HM 12-24Tik Tok,43.43105
HM 12-24Twitter,24.6905
HM 12-24Youtube,64.76765
HM 12-24Spotify,36.68725
HM 12-24Vallas,49.1203
HM 12-24Medios de Transporte,63.07205
HM 12-24Paraderos,48.57675
HM 12-24Valla Movil,35.28095
HM 12-24Taxi,41.48145
HM 12-24Centros Comerciales,56.0872
HM 12-24Aeropuertos,51.54345
HM 25 -39Tv Nacional,52.32675
HM 25 -39Tv Regional,11.5292
HM 25 -39Tv Suscripción,53.433
HM 25 -39Radio,70.96995
HM 25 -39Prensa,32.84845
HM 25 -39Prensa OnLine,27.70505
HM 25 -39Revistas,25.2948
HM 25 -39Revistas On Line,18.3911
HM 25 -39T. Digital,90.0004
HM 25 -39Cine,10.59785
HM 25 -39Google Search,68.21575
HM 25 -39Facebook,75.83485
HM 25 -39Instagram,66.86675
HM 25 -39Tik Tok,30.95445
HM 25 -39Twitter,25.4735
HM 25 -39Youtube,59.1149
HM 25 -39Spotify,30.9115
HM 25 -39Vallas,53.8157
HM 25 -39Medios de Transporte,67.74215
HM 25 -39Paraderos,51.04935
HM 25 -39Valla Movil,31.88825
HM 25 -39Taxi,34.01685
HM 25 -39Centros Comerciales,51.8955
HM 25 -39Aeropuertos,48.9575
HM +25 nse 2-3Tv Nacional,48.8786
HM +25 nse 2-3Tv Regional,18.14131
HM +25 nse 2-3Tv Suscripción,51.5446
HM +25 nse 2-3Radio,70.9223
HM +25 nse 2-3Prensa,31.1324
HM +25 nse 2-3Prensa OnLine,25.479
HM +25 nse 2-3Revistas,25.2295
HM +25 nse 2-3Revistas On Line,16.3588
HM +25 nse 2-3T. Digital,88.2931
HM +25 nse 2-3Cine,28.53092
HM +25 nse 2-3Google Search,69.8649
HM +25 nse 2-3Facebook,75.1027
HM +25 nse 2-3Instagram,54.9698
HM +25 nse 2-3Tik Tok,25.1804
HM +25 nse 2-3Twitter,21.4646
HM +25 nse 2-3Youtube,57.2359
HM +25 nse 2-3Spotify,21.3453
HM +25 nse 2-3Vallas,48.5704
HM +25 nse 2-3Medios de Transporte,61.6187
HM +25 nse 2-3Paraderos,44.9329
HM +25 nse 2-3Valla Movil,29.948
HM +25 nse 2-3Taxi,32.2195
HM +25 nse 2-3Centros Comerciales,49.1572
HM +25 nse 2-3Aeropuertos,44.0506
